"URL","Title","Description","Region"
"http://chicago.suntimes.com/business/7/71/948891/sunday-sitdown-scott-emalfarb-social-media-startup-founder","Sunday Sitdown: Scott Emalfarb, social media startup founder","Question: You've started a new company in Evanston  FreshContentSociety.com  that creates edgy social media campaigns, develops and manages social media-influencer programs and provides live-event social media support for brands. Earlier, you&nbsp;...","World wide"
"http://www.cnbc.com/2015/08/21/the-social-media-start-up-for-the-little-guys.html","The social media start-up for the little guys","Kim Kardashian, President Barack Obama and Beyonce: They all have millions upon millions of followers and enjoy a social media reality that is unlike anything experienced by the average Joe. That is until a new start-up called Ripple decided to invert ...","World wide"
"http://www.geekwire.com/2015/simply-measured-acquires-inside-social-as-two-seattle-social-media-data-startups-join-forces/","Simply Measured acquires Inside Social, as two Seattle social media data ...","Simply Measured captures the 2013 Startup of the Year Award. Simply Measured, a quickly growing social media analytics startup, announced on Tuesday it has acquired its first company, a fellow Seattle startup called Inside Social. The two companies are&nbsp;...","World wide"
"http://www.martechadvisor.com/social-media/why-startups-favor-social-media-when-it-comes-to-marketing/","Why Startups Favor Social Media When It Comes to Marketing","This is precisely why social media has become an integral part of mature organizations as well as the start-up culture. Businesses have begun considering the people on social media as an untapped resource of potential customers. These organizations ...","World wide"
"http://tech.co/marketing-your-startup-social-networks-2015-09","Marketing Your Startup with the Help of Social Networks","The problem is that most startups fail. This is due to so many different reasons. One of them is not properly using marketing in an effective way. Most startup owners are told that they can use social networks in order to make the first steps towards ...","World wide"
"http://e27.co/yello-mobile-acquires-thai-social-media-startup-computerlogy-20150817/","Yello Mobile acquires Thai social media startup Computerlogy","Computerlogy was founded in 2009 and uses tools like SocialEnable and TH3RE to help brands target their social media marketing by using Big Data analytics to provide them with consumer insights. It is a badged Facebook Marketing Partner, meaning it&nbsp;...","World wide"
"http://www.cityam.com/223045/freindlyscore-startup-can-credit-score-you-based-social-media","FriendlyScore: This FinTech startup can analyse social media activity to prove ...","A London-based startup has taken the huge amount of data we share every day on social media to come up with a way of assessing whether we can be trusted with a loan or credit card - using social media activity alone to work out a credit score.","World wide"
"https://www.techinasia.com/lamplight-social-media-analytics-funding/","Social marketing analytics startup Lamplight hopes to go viral with $1.5M seed ...","Hong Kong's fast-growing tech startup industry got a sizable boost today with news of US$1.49 million in seed funding for Lamplight Analytics, which provides social media insights to brands. The startup launched last year after a trio  Sam Olsen (CEO ...","World wide"
"http://www.gizmodo.co.uk/2015/08/tech-startup-uses-social-media-to-calculate-your-credit-worthiness/","Tech Startup Uses Social Media to Calculate Your Credit Worthiness","A company that's given itself the name FriendlyScore to fend off accusations before they arrive has come up with a new form of credit checking, one that claims to use social media posts and some 800 other internet data points to calculate how ...","World wide"
"http://www.gruenderszene.de/allgemein/soniques-startup-scanner","Zwei Berliner Grnder vermitteln Social-Media-Reporter an kleine Unternehmen","Gerade in kleinen Teams fehlt es zur regelmigen Bespaung der Social-Media-Fans aber hufig an Zeit, Wissen oder Personal. Dagegen will Soniques aus Berlin nun eine Lsung gefunden haben: Das Startup bernimmt das Social-Media-Marketing von&nbsp;...","World wide"
